Repository name,Repository owner,Popularity - Stars,Total releases,Repository age (days)
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2104
Linux-,SmileShow-DH,{'totalCount': 13},0,3310
hello-world.,madhura481,{'totalCount': 2},0,1403
OK-,hiteshsuthar01,{'totalCount': 12},0,701
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1977
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3835
anitomyJ,Vorror,{'totalCount': 6},2,2779
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1574
WindowsWrapper,jalios,{'totalCount': 2},0,3119
jsimpleutils,gissolutions,{'totalCount': 2},0,4602
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,670
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3024
icedeploy,iceroot,{'totalCount': 2},0,2277
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1050
